2013-09-11;58.3700
2013-09-12;57.7800
2013-09-13;57.9800
2013-09-14;N/A
2013-09-15;N/A
2013-09-16;58.2100
2013-09-17;58.5400
2013-09-18;58.0500
2013-09-19;57.6700
2013-09-20;58.5600
2013-09-21;N/A
2013-09-22;N/A
2013-09-23;57.7400
2013-09-24;57.0000
2013-09-25;56.4400
2013-09-26;56.7100
2013-09-27;56.4900
2013-09-28;N/A
2013-09-29;N/A
2013-09-30;56.5600
2013-10-01;57.3100
2013-10-02;57.3400
2013-10-03;56.7800
2013-10-04;57.6200
2013-10-05;N/A
2013-10-06;N/A
2013-10-07;56.5700
2013-10-08;56.2400
2013-10-09;55.6980
2013-10-10;57.0400
2013-10-11;59.0400
2013-10-12;N/A
2013-10-13;N/A
2013-10-14;59.4500
2013-10-15;57.7900
2013-10-16;57.5700
2013-10-17;57.5700
2013-10-18;58.4100
2013-10-19;N/A
2013-10-20;N/A
2013-10-21;59.6700
2013-10-22;58.4900
2013-10-23;58.7100
2013-10-24;58.5900
2013-10-25;58.5200
2013-10-29;3946.22
2013-10-29;3946.40
2013-10-30;3935.10
2013-10-31;3930.62
2013-10-31;testValue
2013-10-31;testValue
2013-10-31;testValue
2013-10-31;testValue
2013-10-31;testValue
2013-10-31;testValue
2013-10-31;testValue
2013-10-31;testValue
2013-10-31;testValue
2013-10-31;testValue
2013-10-31;testValue
2013-10-31;testValue
2013-11-03;testValue
2013-11-03;testValue
2013-11-03;testValue
2013-11-03;testValue
2013-10-10;testValue
2013-11-04;testValue
2013-11-04;testValue
2013-11-04;testValue
2013-10-10;testValue
2013-11-04;testValue
